"","Nazwa","dochody 2002","dochody 2003","dochody 2004","dochody 2005","dochody 2006","dochody 2007","dochody 2008","dochody 2009","dochody 2010","dochody 2011","dochody 2012","dochody 2013","dochody 2014","dochody 2015","dochody 2016","dochody 2017","dochody 2018","dochody 2019"
"86","Oleśnica (1)",674,667,797,929,1289.04,1431.3,1695.4,1525.17,1557.08,1740.23,1681.11,1818.26,2039.37,1952.19,2117.85,2216.24,2446.35,3655.12
"87","Bierutów (3)",461,490,537,662,623.26,794.04,1019.61,924.09,1049.1,1084.46,1127.12,1304.56,1463.84,1245.2,1289.8,1401.68,1597.21,1577.87
"88","Dobroszyce (2)",647,683,704,741,833.84,1110.69,931.32,939.44,893.72,1230.68,1274.13,1821.89,1405.37,2098.05,1638.34,1758.27,1977.67,2226.68
"89","Dziadowa Kłoda (2)",421,427,466,510,540.72,547.05,654.02,648.77,691.29,701.82,887.43,982.33,1096.24,1122.24,1149.04,1257.17,1347.78,1601.17
"90","Międzybórz (3)",421,564,781,904,960.72,998.34,1094.44,1086.44,1280.21,1540.27,1586.31,2015.94,1742.76,1997.78,1533.33,1565.2,1829.38,1803.93
"91","Oleśnica (2)",563,698,676,782,893.56,1079.1,1030.68,1031.45,1142.35,1316.69,1395.83,1591.21,1555.96,1642.44,1971.34,1982.48,2071.5,2377.4
"92","Syców (3)",473,627,641,770,834.92,1042.33,1084.71,1187.91,1364.2,1077.55,1270.22,1324.39,1382.8,1553.75,1563.47,1692.3,1847.45,2002.27
"93","Twardogóra (3)",826,926,1074,1116,1021.14,1389.96,1659.84,2250.4,1429.64,1383.68,1376.9,1600.42,1716.89,2169.6,2174.73,2239.99,2430.51,2809.8
"94","Oława (1)",690,727,1050,1423,1343.12,1614.01,1736.55,1673.93,1768.75,1793.7,1866.28,1928.73,2096.13,2124.95,2334.2,2296.16,2579.22,2631.56
"95","Domaniów (2)",543,479,563,522,565.67,698.72,1063.5,920.42,858.05,814.38,1125.97,1235.92,1379.16,1384.22,1343.7,1474.91,1658.52,1980.28
