Gmina,Powiat,Województwo,Powierzchnia [km²],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km²]
gmina Dobrcz,bydgoski,kujawsko-pomorskie,"130,07",11 352,87
gmina Dobre,radziejowski,kujawsko-pomorskie,"70,82",5456,77
gmina Dobre,miński,mazowieckie,"124,9",6027,48
gmina Dobre Miasto,olsztyński,warmińsko-mazurskie,"258,69",16 075,62
gmina Dobrodzień,oleski,opolskie,"162,82",10 030,62
gmina Dobromierz,świdnicki,dolnośląskie,"85,93",5323,62
gmina Dobroń,pabianicki,łódzkie,"95,46",7600,80
gmina Dobroszyce,oleśnicki,dolnośląskie,"131,96",6504,49
gmina Dobryszyce,radomszczański,łódzkie,"50,82",4402,87
gmina Dobrzany,stargardzki,zachodniopomorskie,"134,72",4985,37
gmina Dobrzeń Wielki,opolski,opolskie,"63,47",9507,150
gmina Dobrzyca,pleszewski,wielkopolskie,"116,71",8260,71
gmina Dobrzyniewo Duże,białostocki,podlaskie,"161,13",9019,56
gmina Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie,"115,18",7780,68
gmina Dolice,stargardzki,zachodniopomorskie,"237,17",7987,34
gmina Dolsk,śremski,wielkopolskie,"124,48",5885,47
gmina Dołhobyczów,hrubieszowski,lubelskie,"212,61",5609,26
gmina Domanice,siedlecki,mazowieckie,"46,97",2655,57
gmina Domaniewice,łowicki,łódzkie,"86,17",4659,54
gmina Domaniów,oławski,dolnośląskie,"94,46",5245,56
gmina Domaradz,brzozowski,podkarpackie,"56,5",6107,108
gmina Domaszowice,namysłowski,opolskie,"114,03",3633,32
gmina Dominowo,średzki,wielkopolskie,"79,36",3001,38
gmina Dopiewo,poznański,wielkopolskie,"108,02",24 540,227
gmina Dorohusk,chełmski,lubelskie,"192,42",6535,34
gmina Doruchów,ostrzeszowski,wielkopolskie,"99,38",5318,54
gmina Dragacz,świecki,kujawsko-pomorskie,"111,81",7271,65
gmina Drawno,choszczeński,zachodniopomorskie,"320,91",5127,16
gmina Drawsko,czarnkowsko-trzcianecki,wielkopolskie,"163,03",5885,36
gmina Drawsko Pomorskie,drawski,zachodniopomorskie,"344,16",16 335,47
gmina Drelów,bialski,lubelskie,"228,06",5479,24
gmina Drezdenko,strzelecko-drezdenecki,lubuskie,"399,91",17 360,43
gmina Drobin,płocki,mazowieckie,"143,5",8126,57
gmina Drohiczyn,siemiatycki,podlaskie,"207,96",6454,31
gmina Drużbice,bełchatowski,łódzkie,"113,35",5151,45
