Gmina,Powiat,Województwo,Powierzchnia [km²],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km²]
gmina Radomyśl nad Sanem,stalowowolski,podkarpackie,"133,9",7331,55
gmina Radomyśl Wielki,mielecki,podkarpackie,"159,78",14 228,89
gmina Radoszyce,konecki,świętokrzyskie,"146,64",9042,62
gmina Radowo Małe,łobeski,zachodniopomorskie,"180,46",3659,20
gmina Radwanice,polkowicki,dolnośląskie,"84,24",4747,56
Radymno,jarosławski,podkarpackie,"13,62",5358,393
gmina Radymno,jarosławski,podkarpackie,"182,18",11 458,63
gmina Radzanowo,płocki,mazowieckie,"104,45",8371,80
gmina Radzanów,białobrzeski,mazowieckie,"82,52",3892,47
gmina Radzanów,mławski,mazowieckie,"98,86",3407,34
gmina Radziechowy-Wieprz,żywiecki,śląskie,"64,86",13 095,202
gmina Radziejowice,żyrardowski,mazowieckie,"73,01",5616,77
Radziejów,radziejowski,kujawsko-pomorskie,"5,69",5634,990
gmina Radziejów,radziejowski,kujawsko-pomorskie,"92,65",4453,48
gmina Radziemice,proszowicki,małopolskie,"57,97",3434,59
gmina Radziłów,grajewski,podlaskie,"199,54",4813,24
Radzionków,tarnogórski,śląskie,"13,2",16 875,1278
gmina Radzymin,wołomiński,mazowieckie,"129,46",26 140,202
gmina Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie,"91,14",4735,52
Radzyń Podlaski,radzyński,lubelskie,"19,31",15 922,825
gmina Radzyń Podlaski,radzyński,lubelskie,"154,99",8110,52
gmina Rajcza,żywiecki,śląskie,"131,42",8930,68
gmina Rajgród,grajewski,podlaskie,"207,26",5322,26
gmina Rakoniewice,grodziski,wielkopolskie,"201,01",13 115,65
gmina Raków,kielecki,świętokrzyskie,"190,62",5676,30
gmina Rakszawa,łańcucki,podkarpackie,"66,46",7294,110
gmina Raniżów,kolbuszowski,podkarpackie,"96,66",7069,73
gmina Raszków,ostrowski,wielkopolskie,"134,57",11 875,88
gmina Raszyn,pruszkowski,mazowieckie,"43,91",21 555,491
Rawa Mazowiecka,rawski,łódzkie,"14,28",17 561,1230
gmina Rawa Mazowiecka,rawski,łódzkie,"163,25",8707,53
gmina Rawicz,rawicki,wielkopolskie,"134,25",30 234,225
gmina Rąbino,świdwiński,zachodniopomorskie,"179,68",3725,21
gmina Recz,choszczeński,zachodniopomorskie,"180,37",5645,31
Reda,wejherowski,pomorskie,"33,46",24 630,736
gmina Regimin,ciechanowski,mazowieckie,"111,18",5031,45
gmina Regnów,rawski,łódzkie,"46,35",1816,39
gmina Rejowiec,chełmski,lubelskie,"106,25",6508,61
Rejowiec Fabryczny,chełmski,lubelskie,"14,28",4430,310
gmina Rejowiec Fabryczny,chełmski,lubelskie,"87,74",4304,49
gmina Reńska Wieś,kędzierzyńsko-kozielski,opolskie,"98,13",8251,84
gmina Repki,sokołowski,mazowieckie,"168,58",5370,32
gmina Resko,łobeski,zachodniopomorskie,"285,2",8117,28
gmina Reszel,kętrzyński,warmińsko-mazurskie,"179,2",7721,43
gmina Rewal,gryficki,zachodniopomorskie,"40,65",3871,95
gmina Ręczno,piotrkowski,łódzkie,"88,9",3569,40
gmina Rędziny,częstochowski,śląskie,"41,23",10 055,244
gmina Rogowo,rypiński,kujawsko-pomorskie,"141,01",4810,34
gmina Rogowo,żniński,kujawsko-pomorskie,"178,85",6899,39
gmina Rogoźno,obornicki,wielkopolskie,"216,24",18 203,84
gmina Rogów,brzeziński,łódzkie,"66,06",4776,72
gmina Rogóźno,grudziądzki,kujawsko-pomorskie,"116,24",4189,36
gmina Rojewo,inowrocławski,kujawsko-pomorskie,"119,76",4727,39
gmina Rokiciny,tomaszowski,łódzkie,"90,58",6157,68
gmina Rokietnica,jarosławski,podkarpackie,"57,08",4375,77
gmina Rokietnica,poznański,wielkopolskie,"79,3",16 246,205
gmina Rokitno,bialski,lubelskie,"140,89",3061,22
gmina Ropa,gorlicki,małopolskie,"49,11",5408,110
gmina Ropczyce,ropczycko-sędziszowski,podkarpackie,"139,08",27 232,196
gmina Rossosz,bialski,lubelskie,"76,48",2283,30
gmina Rościszewo,sierpecki,mazowieckie,"114,79",4211,37
gmina Rozdrażew,krotoszyński,wielkopolskie,"79,2",5203,66
gmina Rozogi,szczycieński,warmińsko-mazurskie,"224,41",5645,25
gmina Rozprza,piotrkowski,łódzkie,"163,08",12 343,76
gmina Roźwienica,jarosławski,podkarpackie,"68,75",6225,91
gmina Różan,makowski,mazowieckie,"84,58",4449,53
gmina Ruciane-Nida,piski,warmińsko-mazurskie,"357,98",8253,23
gmina Ruda Maleniecka,konecki,świętokrzyskie,"110,05",3151,29
Ruda Śląska,Ruda Śląska,śląskie,"77,73",139 125,1790
gmina Ruda-Huta,chełmski,lubelskie,"112,21",4617,41
gmina Rudka,bielski,podlaskie,"70,29",1928,27
gmina Rudna,lubiński,dolnośląskie,"216,64",7729,36
gmina Rudnik,krasnostawski,lubelskie,"88,53",3116,35
gmina Rudnik,raciborski,śląskie,"73,88",5183,70
gmina Rudnik nad Sanem,niżański,podkarpackie,"78,69",10 152,129
gmina Rudniki,oleski,opolskie,"100,4",8291,83
gmina Rudziniec,gliwicki,śląskie,"159,14",10 617,67
gmina Ruja,legnicki,dolnośląskie,"73,3",2655,36
Rumia,wejherowski,pomorskie,"30,1",48 095,1598
gmina Rusiec,bełchatowski,łódzkie,"99,91",5161,52
gmina Rusinów,przysuski,mazowieckie,"82,76",4330,52
gmina Rutka-Tartak,suwalski,podlaskie,"103,46",2377,23
gmina Rutki,zambrowski,podlaskie,"199,99",5665,28
gmina Rybczewice,świdnicki,lubelskie,"99,13",3492,35
Rybnik,Rybnik,śląskie,"148,36",139 252,939
gmina Rybno,sochaczewski,mazowieckie,"72,75",3477,48
gmina Rybno,działdowski,warmińsko-mazurskie,"148,41",7319,49
gmina Rychliki,elbląski,warmińsko-mazurskie,"131,65",3928,30
gmina Rychtal,kępiński,wielkopolskie,"96,55",3885,40
gmina Rychwał,koniński,wielkopolskie,"117,9",8362,71
gmina Ryczywół,obornicki,wielkopolskie,"154,76",7378,48
Rydułtowy,wodzisławski,śląskie,"14,95",21 715,1453
gmina Rydzyna,leszczyński,wielkopolskie,"135,6",9063,67
gmina Ryglice,tarnowski,małopolskie,"117,11",11 696,100
gmina Ryjewo,kwidzyński,pomorskie,"103,71",5925,57
gmina Ryki,rycki,lubelskie,"161,76",20 575,127
gmina Rymanów,krośnieński,podkarpackie,"166,63",15 830,95
gmina Rymań,kołobrzeski,zachodniopomorskie,"146,15",4019,27
gmina Ryn,giżycki,warmińsko-mazurskie,"204,54",5800,28
gmina Ryńsk,wąbrzeski,kujawsko-pomorskie,"200,73",8677,43
Rypin,rypiński,kujawsko-pomorskie,"10,96",16 469,1503
gmina Rypin,rypiński,kujawsko-pomorskie,"132,08",7553,57
gmina Rytro,nowosądecki,małopolskie,"41,9",3830,91
gmina Rytwiany,staszowski,świętokrzyskie,"124,66",6357,51
gmina Rząśnia,pajęczański,łódzkie,"86,14",4857,56
gmina Rząśnik,wyszkowski,mazowieckie,"167,43",7011,42
gmina Rzeczenica,człuchowski,pomorskie,"274,8",3675,13
gmina Rzeczniów,lipski,mazowieckie,"103,43",4493,43
gmina Rzeczyca,tomaszowski,łódzkie,"108,61",4674,43
gmina Rzekuń,ostrołęcki,mazowieckie,"135,72",10 643,78
gmina Rzepiennik Strzyżewski,tarnowski,małopolskie,"70,71",6756,96
gmina Rzepin,słubicki,lubuskie,"190,99",9852,52
Rzeszów,Rzeszów,podkarpackie,"120,41",188 021,1562
gmina Rzewnie,makowski,mazowieckie,"111,75",2671,24
gmina Rzezawa,bocheński,małopolskie,"86,35",11 158,129
gmina Rzgów,łódzki wschodni,łódzkie,"66,32",10 121,153
gmina Rzgów,koniński,wielkopolskie,"104,66",7206,69
gmina Sabnie,sokołowski,mazowieckie,"107,98",3769,35
gmina Sadki,nakielski,kujawsko-pomorskie,"153,75",7310,48
gmina Sadkowice,rawski,łódzkie,"121,08",5563,46
gmina Sadlinki,kwidzyński,pomorskie,"112,25",5940,53
gmina Sadowie,opatowski,świętokrzyskie,"81,81",4032,49
gmina Sadowne,węgrowski,mazowieckie,"144,73",5915,41
gmina Samborzec,sandomierski,świętokrzyskie,"85,24",8575,101
Sandomierz,sandomierski,świętokrzyskie,"28,69",23 993,836
gmina Sanniki,gostyniński,mazowieckie,"94,59",6185,65
Sanok,sanocki,podkarpackie,"38,08",38 272,1005
gmina Sanok,sanocki,podkarpackie,"231,7",17 865,77
gmina Santok,gorzowski,lubuskie,"169,39",8277,49
gmina Sarnaki,łosicki,mazowieckie,"197,49",4880,25
gmina Sawin,chełmski,lubelskie,"190,22",5618,30
gmina Secemin,włoszczowski,świętokrzyskie,"162,6",4867,30
Sejny,sejneński,podlaskie,"4,49",5543,1235
gmina Sejny,sejneński,podlaskie,"217,4",4049,19
gmina Serniki,lubartowski,lubelskie,"75,6",4913,65
gmina Serock,legionowski,mazowieckie,"110,29",14 287,130
gmina Serokomla,łukowski,lubelskie,"77,33",4034,52
gmina Sędziejowice,łaski,łódzkie,"120,04",6429,54
gmina Sędziszów,jędrzejowski,świętokrzyskie,"145,65",12 679,87
gmina Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie,"154,04",23 485,152
gmina Sękowa,gorlicki,małopolskie,"194,8",4990,26
gmina Sępopol,bartoszycki,warmińsko-mazurskie,"246,38",6415,26
gmina Sępólno Krajeńskie,sępoleński,kujawsko-pomorskie,"229,12",15 965,70
gmina Sianów,koszaliński,zachodniopomorskie,"226,76",13 765,61
gmina Sicienko,bydgoski,kujawsko-pomorskie,"179,99",9915,55
gmina Sidra,sokólski,podlaskie,"174,09",3542,20
gmina Siechnice,wrocławski,dolnośląskie,"98,71",20 429,207
gmina Sieciechów,kozienicki,mazowieckie,"62,52",3978,64
Siedlce,Siedlce,mazowieckie,"31,86",77 020,2417
gmina Siedlce,siedlecki,mazowieckie,"141,35",17 972,127
gmina Siedlec,wolsztyński,wielkopolskie,"204,64",12 668,62
gmina Siedlisko,nowosolski,lubuskie,"92,16",3668,40
gmina Siedliszcze,chełmski,lubelskie,"154,14",6953,45
gmina Siekierczyn,lubański,dolnośląskie,"49,5",4540,92
Siemianowice Śląskie,Siemianowice Śląskie,śląskie,"25,5",67 905,2663
Siemiatycze,siemiatycki,podlaskie,"36,25",14 631,404
gmina Siemiatycze,siemiatycki,podlaskie,"226,81",6139,27
gmina Siemiątkowo,żuromiński,mazowieckie,"113,4",3584,32
gmina Siemień,parczewski,lubelskie,"111,21",4661,42
gmina Siemkowice,pajęczański,łódzkie,"99,98",4837,48
gmina Siemyśl,kołobrzeski,zachodniopomorskie,"107,31",3767,35
gmina Sieniawa,przeworski,podkarpackie,"127,65",7049,55
gmina Siennica,miński,mazowieckie,"110,87",7457,67
gmina Siennica Różana,krasnostawski,lubelskie,"98,4",4205,43
gmina Sienno,lipski,mazowieckie,"147,12",5976,41
gmina Siepraw,myślenicki,małopolskie,"31,85",8718,274
Sieradz,sieradzki,łódzkie,"51,22",42 762,835
gmina Sieradz,sieradzki,łódzkie,"181,6",10 468,58
gmina Sierakowice,kartuski,pomorskie,"182,22",19 258,106
gmina Sieraków,międzychodzki,wielkopolskie,"203,12",8775,43
gmina Sieroszewice,ostrowski,wielkopolskie,"163,17",9669,59
Sierpc,sierpecki,mazowieckie,"18,59",18 192,979
gmina Sierpc,sierpecki,mazowieckie,"150,09",7108,47
gmina Siewierz,będziński,śląskie,"113,85",12 366,109
gmina Sitkówka-Nowiny,kielecki,świętokrzyskie,"45,61",7728,169
gmina Sitno,zamojski,lubelskie,"111,76",6803,61
gmina Skalbmierz,kazimierski,świętokrzyskie,"85,94",6586,77
gmina Skała,krakowski,małopolskie,"74,83",10 519,141
gmina Skarbimierz,brzeski,opolskie,"110,31",7970,72
gmina Skarszewy,starogardzki,pomorskie,"169,58",14 784,87
gmina Skaryszew,radomski,mazowieckie,"171,27",14 506,85
gmina Skarżysko Kościelne,skarżyski,świętokrzyskie,"53,24",6180,116
Skarżysko-Kamienna,skarżyski,świętokrzyskie,"64,39",46 449,721
gmina Skawina,krakowski,małopolskie,"99,84",43 346,434
gmina Skąpe,świebodziński,lubuskie,"181,36",5116,28
gmina Skępe,lipnowski,kujawsko-pomorskie,"178,75",7616,43
gmina Skierbieszów,zamojski,lubelskie,"139,21",5264,38
Skierniewice,Skierniewice,łódzkie,"34,6",48 327,1397
gmina Skierniewice,skierniewicki,łódzkie,"131,3",7484,57
gmina Skoczów,cieszyński,śląskie,"63,55",26 787,422
gmina Skoki,wągrowiecki,wielkopolskie,"198,49",9456,48
gmina Skołyszyn,jasielski,podkarpackie,"78,49",12 496,159
gmina Skomlin,wieluński,łódzkie,"55,2",3373,61
gmina Skoroszyce,nyski,opolskie,"103,86",6250,60
Skórcz,starogardzki,pomorskie,"3,63",3545,977
gmina Skórcz,starogardzki,pomorskie,"96,86",4617,48
gmina Skórzec,siedlecki,mazowieckie,"119,04",7741,65
gmina Skrwilno,rypiński,kujawsko-pomorskie,"122,81",5973,49
gmina Skrzyszów,tarnowski,małopolskie,"86,02",14 130,164
gmina Skulsk,koniński,wielkopolskie,"84,89",6170,73
gmina Skwierzyna,międzyrzecki,lubuskie,"284,81",12 303,43
gmina Słaboszów,miechowski,małopolskie,"76,77",3623,47
gmina Sława,wschowski,lubuskie,327,12 688,39
gmina Sławatycze,bialski,lubelskie,"71,89",2372,33
Sławków,będziński,śląskie,"36,67",7084,193
Sławno,sławieński,zachodniopomorskie,"15,83",12 677,801
gmina Sławno,łódzki wschodni,łódzkie,"129,31",7610,59
gmina Sławno,sławieński,zachodniopomorskie,"284,39",8960,32
gmina Sławoborze,świdwiński,zachodniopomorskie,"188,66",4132,22
gmina Słomniki,krakowski,małopolskie,"112,98",13 675,121
gmina Słońsk,sulęciński,lubuskie,"158,64",4797,30
gmina Słopnice,limanowski,małopolskie,"56,85",6617,116
gmina Słubice,słubicki,lubuskie,"185,57",19 971,108
gmina Słubice,płocki,mazowieckie,"95,82",4500,47
Słupca,słupecki,wielkopolskie,"10,3",13 862,1346
gmina Słupca,słupecki,wielkopolskie,"144,81",9206,64
gmina Słupia,skierniewicki,łódzkie,"41,09",2658,65
gmina Słupia,jędrzejowski,świętokrzyskie,"108,42",4361,40
gmina Słupia Konecka,konecki,świętokrzyskie,"105,8",3393,32
gmina Słupno,płocki,mazowieckie,"74,93",7433,99
Słupsk,Słupsk,pomorskie,"43,15",91 935,2131
gmina Słupsk,słupski,pomorskie,"261,73",17 383,66
gmina Smętowo Graniczne,starogardzki,pomorskie,"86,01",5258,61
gmina Smołdzino,słupski,pomorskie,"260,29",3427,13
gmina Smyków,konecki,świętokrzyskie,"62,09",3794,61
gmina Sobienie-Jeziory,otwocki,mazowieckie,"97,68",6388,65
gmina Sobków,jędrzejowski,świętokrzyskie,"144,31",8526,59
gmina Sobolew,garwoliński,mazowieckie,"94,8",8237,87
gmina Sobótka,wrocławski,dolnośląskie,"136,26",12 812,94
Sochaczew,sochaczewski,mazowieckie,"26,19",36 971,1412
gmina Sochaczew,sochaczewski,mazowieckie,"91,38",10 597,116
gmina Sochocin,płoński,mazowieckie,"122,19",5889,48
gmina Sokolniki,wieruszowski,łódzkie,"80,01",4940,62
gmina Sokołów Małopolski,rzeszowski,podkarpackie,"134,2",17 071,127
Sokołów Podlaski,sokołowski,mazowieckie,"17,51",18 835,1076
gmina Sokołów Podlaski,sokołowski,mazowieckie,"136,61",6061,44
gmina Sokoły,wysokomazowiecki,podlaskie,"155,6",5790,37
gmina Sokółka,sokólski,podlaskie,"313,56",25 835,82
gmina Solec Kujawski,bydgoski,kujawsko-pomorskie,"175,07",16 813,96
gmina Solec nad Wisłą,lipski,mazowieckie,"129,83",5056,39
gmina Solec-Zdrój,buski,świętokrzyskie,"85,04",5092,60
gmina Solina,leski,podkarpackie,"184,52",5305,29
gmina Somianka,wyszkowski,mazowieckie,"117,69",5588,47
gmina Somonino,kartuski,pomorskie,"112,11",10 409,93
gmina Sompolno,koniński,wielkopolskie,"137,42",10 400,76
gmina Sońsk,ciechanowski,mazowieckie,"154,71",7863,51
Sopot,Sopot,pomorskie,"17,28",36 849,2132
gmina Sorkwity,mrągowski,warmińsko-mazurskie,"184,65",4618,25
gmina Sosnowica,parczewski,lubelskie,"171,62",2632,15
Sosnowiec,Sosnowiec,śląskie,"91,06",205 873,2261
gmina Sosnówka,bialski,lubelskie,"148,36",2517,17
gmina Sośnicowice,gliwicki,śląskie,"116,5",8778,75
gmina Sośnie,ostrowski,wielkopolskie,"187,72",6606,35
gmina Sośno,sępoleński,kujawsko-pomorskie,"162,64",5050,31
gmina Spiczyn,łęczyński,lubelskie,"83,15",5650,68
gmina Spytkowice,nowotarski,małopolskie,"32,18",4516,140
gmina Spytkowice,wadowicki,małopolskie,"51,38",10 255,200
gmina Srokowo,kętrzyński,warmińsko-mazurskie,"194,16",3923,20
Stalowa Wola,stalowowolski,podkarpackie,"82,52",62 400,756
gmina Stanin,łukowski,lubelskie,"160,82",9789,61
gmina Stanisławów,miński,mazowieckie,"106,37",6746,63
gmina Stara Biała,płocki,mazowieckie,"111,12",11 752,106
gmina Stara Błotnica,białobrzeski,mazowieckie,"96,05",5264,55
gmina Stara Dąbrowa,stargardzki,zachodniopomorskie,"112,59",3723,33
gmina Stara Kamienica,jeleniogórski,dolnośląskie,"110,5",5264,48
gmina Stara Kiszewa,kościerski,pomorskie,"212,73",6628,31
gmina Stara Kornica,łosicki,mazowieckie,"118,84",4898,41
Starachowice,starachowicki,świętokrzyskie,"31,82",49 939,1569
gmina Starcza,częstochowski,śląskie,"20,09",2820,140
gmina Stare Babice,warszawski zachodni,mazowieckie,"63,42",18 301,289
gmina Stare Bogaczowice,wałbrzyski,dolnośląskie,"87,29",4259,49
gmina Stare Czarnowo,gryfiński,zachodniopomorskie,"152,88",3831,25
gmina Stare Juchy,ełcki,warmińsko-mazurskie,"197,02",3865,20
gmina Stare Kurowo,strzelecko-drezdenecki,lubuskie,"77,57",4130,53
gmina Stare Miasto,koniński,wielkopolskie,"97,84",12 039,123
gmina Stare Pole,malborski,pomorskie,"79,49",4706,59
Stargard,stargardzki,zachodniopomorskie,"48,08",68 477,1424
gmina Stargard,stargardzki,zachodniopomorskie,"318,88",12 950,41
Starogard Gdański,starogardzki,pomorskie,"25,28",48 167,1905
gmina Starogard Gdański,starogardzki,pomorskie,"196,21",16 078,82
gmina Staroźreby,płocki,mazowieckie,"137,66",7417,54
gmina Stary Brus,włodawski,lubelskie,"131,67",2121,16
gmina Stary Dzierzgoń,sztumski,pomorskie,"185,7",4086,22
gmina Stary Dzików,lubaczowski,podkarpackie,"155,7",4281,27
gmina Stary Lubotyń,ostrowski,mazowieckie,"109,59",3760,34
gmina Stary Sącz,nowosądecki,małopolskie,"100,88",23 532,233
gmina Stary Targ,sztumski,pomorskie,"141,35",6383,45
gmina Stary Zamość,zamojski,lubelskie,"97,51",5252,54
gmina Staszów,staszowski,świętokrzyskie,"227,52",26 067,115
gmina Stawiguda,olsztyński,warmińsko-mazurskie,"222,87",8449,38
gmina Stawiski,kolneński,podlaskie,"165,55",6263,38
gmina Stawiszyn,kaliski,wielkopolskie,"78,5",7209,92
gmina Stąporków,konecki,świętokrzyskie,"231,67",17 369,75
gmina Stegna,nowodworski,pomorskie,"170,09",9827,58
gmina Stepnica,goleniowski,zachodniopomorskie,"293,13",4919,17
gmina Sterdyń,sokołowski,mazowieckie,"129,97",4069,31
gmina Stęszew,poznański,wielkopolskie,"175,02",14 973,86
gmina Stężyca,rycki,lubelskie,"116,04",5274,45
gmina Stężyca,kartuski,pomorskie,"160,47",10 239,64
gmina Stoczek,węgrowski,mazowieckie,"144,54",5063,35
Stoczek Łukowski,łukowski,lubelskie,"9,15",2581,282
gmina Stoczek Łukowski,łukowski,lubelskie,"173,46",7992,46
gmina Stolno,chełmiński,kujawsko-pomorskie,"98,52",5221,53
gmina Stopnica,buski,świętokrzyskie,"125,96",7728,61
gmina Stoszowice,ząbkowicki,dolnośląskie,"110,72",5464,49
gmina Strachówka,wołomiński,mazowieckie,"107,73",2758,26
gmina Strawczyn,kielecki,świętokrzyskie,"85,86",10 567,123
gmina Stromiec,białobrzeski,mazowieckie,"156,74",5645,36
gmina Stronie Śląskie,kłodzki,dolnośląskie,"146,08",7598,52
gmina Strumień,cieszyński,śląskie,"58,54",13 049,223
gmina Stryków,zgierski,łódzkie,"157,9",12 418,79
gmina Stryszawa,suski,małopolskie,"113,81",11 799,104
gmina Stryszów,wadowicki,małopolskie,"45,9",6858,149
gmina Strzałkowo,słupecki,wielkopolskie,"142,34",10 380,73
gmina Strzegom,świdnicki,dolnośląskie,"144,65",26 207,181
gmina Strzegowo,mławski,mazowieckie,"214,21",7664,36
gmina Strzelce,kutnowski,łódzkie,"90,09",4023,45
gmina Strzelce Krajeńskie,strzelecko-drezdenecki,lubuskie,"318,98",17 292,54
gmina Strzelce Opolskie,strzelecki,opolskie,"202,53",30 941,153
gmina Strzelce Wielkie,pajęczański,łódzkie,78,4665,60
gmina Strzeleczki,krapkowicki,opolskie,"117,37",7438,63
gmina Strzelin,strzeliński,dolnośląskie,"171,41",22 168,129
gmina Strzelno,mogileński,kujawsko-pomorskie,"184,9",11 729,63
gmina Strzyżewice,lubelski,lubelskie,"108,8",7996,73
gmina Strzyżów,strzyżowski,podkarpackie,"140,32",20 789,148
gmina Stubno,przemyski,podkarpackie,"88,7",3936,44
gmina Studzienice,bytowski,pomorskie,"176,26",3650,21
gmina Stupsk,mławski,mazowieckie,"117,99",4942,42
gmina Subkowy,tczewski,pomorskie,"77,8",5521,71
Sucha Beskidzka,suski,małopolskie,"27,65",9365,339
gmina Suchań,stargardzki,zachodniopomorskie,"133,05",4335,33
gmina Suchedniów,skarżyski,świętokrzyskie,"74,95",10 379,138
gmina Suchowola,sokólski,podlaskie,"255,7",7017,27
gmina Suchożebry,siedlecki,mazowieckie,"100,54",4715,47
gmina Suchy Dąb,gdański,pomorskie,"84,51",4208,50
gmina Suchy Las,poznański,wielkopolskie,"116,01",16 743,144
gmina Sulechów,zielonogórski,lubuskie,"236,66",26 434,112
gmina Sulejów,piotrkowski,łódzkie,"188,23",16 265,86
Sulejówek,miński,mazowieckie,"19,31",19 489,1009
gmina Sulęcin,sulęciński,lubuskie,"320,08",15 947,50
gmina Sulęczyno,kartuski,pomorskie,"131,46",5401,41
gmina Sulików,zgorzelecki,dolnośląskie,"94,51",6129,65
Sulmierzyce,krotoszyński,wielkopolskie,"29,29",2906,99
gmina Sulmierzyce,pajęczański,łódzkie,"82,74",4469,54
gmina Sułkowice,myślenicki,małopolskie,"60,38",14 762,244
gmina Sułoszowa,krakowski,małopolskie,"53,38",5814,109
gmina Sułów,zamojski,lubelskie,"93,24",4618,50
gmina Supraśl,białostocki,podlaskie,"188,56",14 822,79
gmina Suraż,białostocki,podlaskie,"76,61",1986,26
gmina Susiec,tomaszowski,lubelskie,"190,75",7608,40
gmina Susz,iławski,warmińsko-mazurskie,"259,05",12 914,50
gmina Suszec,pszczyński,śląskie,"75,08",12 082,161
Suwałki,Suwałki,podlaskie,"65,51",69 626,1063
gmina Suwałki,suwalski,podlaskie,"264,61",7532,28
gmina Swarzędz,poznański,wielkopolskie,"101,78",48 782,479
gmina Syców,oleśnicki,dolnośląskie,"145,11",16 797,116
gmina Sypniewo,makowski,mazowieckie,"128,45",3355,26
gmina Szadek,zduńskowolski,łódzkie,"151,64",7378,49
gmina Szaflary,nowotarski,małopolskie,"54,27",10 980,202
gmina Szamocin,chodzieski,wielkopolskie,"127,13",7572,60
gmina Szamotuły,szamotulski,wielkopolskie,"175,52",29 828,170
gmina Szastarka,kraśnicki,lubelskie,"73,31",5871,80
gmina Szczaniec,świebodziński,lubuskie,"113,33",3886,34
gmina Szczawin Kościelny,gostyniński,mazowieckie,"127,16",4953,39
gmina Szczawnica,nowotarski,małopolskie,"87,9",7322,83
Szczawno-Zdrój,wałbrzyski,dolnośląskie,"14,74",5692,386
gmina Szczebrzeszyn,zamojski,lubelskie,"123,5",11 434,93
Szczecin,Szczecin,zachodniopomorskie,"300,6",404 878,1347
Szczecinek,szczecinecki,zachodniopomorskie,"48,48",40 362,833
gmina Szczecinek,szczecinecki,zachodniopomorskie,"498,87",9377,19
gmina Szczekociny,zawierciański,śląskie,"133,93",7904,59
gmina Szczerców,bełchatowski,łódzkie,"128,95",8134,63
gmina Szczucin,dąbrowski,małopolskie,"119,48",13 189,110
gmina Szczuczyn,grajewski,podlaskie,"115,6",6145,53
gmina Szczurowa,brzeski,małopolskie,"134,92",9629,71
gmina Szczutowo,sierpecki,mazowieckie,"112,68",4307,38
Szczyrk,bielski,śląskie,"39,07",5734,147
gmina Szczytna,kłodzki,dolnośląskie,"132,37",7387,56
gmina Szczytniki,kaliski,wielkopolskie,"110,33",7868,71
Szczytno,szczycieński,warmińsko-mazurskie,"10,62",23 817,2243
gmina Szczytno,szczycieński,warmińsko-mazurskie,"346,24",12 755,37
gmina Szelków,makowski,mazowieckie,"113,21",3704,33
gmina Szemud,wejherowski,pomorskie,"176,91",17 060,96
gmina Szepietowo,wysokomazowiecki,podlaskie,"151,72",7075,47
gmina Szerzyny,tarnowski,małopolskie,82,7955,97
Szklarska Poręba,jeleniogórski,dolnośląskie,"75,44",6651,88
gmina Szlichtyngowa,wschowski,lubuskie,"99,74",5072,51
gmina Szprotawa,żagański,lubuskie,"232,53",21 164,91
gmina Szreńsk,mławski,mazowieckie,"109,39",4253,39
gmina Sztabin,augustowski,podlaskie,"363,11",5180,14
gmina Sztum,sztumski,pomorskie,"181,06",18 674,103
gmina Sztutowo,nowodworski,pomorskie,"111,53",3684,33
gmina Szubin,nakielski,kujawsko-pomorskie,"332,26",24 555,74
gmina Szudziałowo,sokólski,podlaskie,"301,61",2981,10
gmina Szulborze Wielkie,ostrowski,mazowieckie,"46,72",1714,37
gmina Szumowo,zambrowski,podlaskie,"141,06",4946,35
gmina Szydłowiec,szydłowiecki,mazowieckie,"138,3",18 951,137
gmina Szydłowo,mławski,mazowieckie,"122,5",4638,38
gmina Szydłowo,pilski,wielkopolskie,"267,46",8842,33
gmina Szydłów,staszowski,świętokrzyskie,"107,9",4765,44
gmina Szypliszki,suwalski,podlaskie,"156,43",3956,25
gmina Ścinawa,lubiński,dolnośląskie,"164,43",10 162,62
gmina Ślemień,żywiecki,śląskie,"45,02",3542,79
gmina Ślesin,koniński,wielkopolskie,"145,63",13 998,96
gmina Śliwice,tucholski,kujawsko-pomorskie,"174,72",5655,32
gmina Śmigiel,kościański,wielkopolskie,"189,77",17 756,94
gmina Śniadowo,łomżyński,podlaskie,"162,98",5451,33
gmina Śrem,śremski,wielkopolskie,"205,87",41 750,203
gmina Środa Śląska,średzki,dolnośląskie,"215,96",19 728,91
gmina Środa Wielkopolska,średzki,wielkopolskie,"207,16",31 829,154
gmina Świątki,olsztyński,warmińsko-mazurskie,"164,15",4191,26
gmina Świątniki Górne,krakowski,małopolskie,"20,35",9839,483
Świdnica,świdnicki,dolnośląskie,"21,76",57 959,2664
gmina Świdnica,świdnicki,dolnośląskie,"207,84",17 140,82
gmina Świdnica,zielonogórski,lubuskie,"160,9",6519,41
Świdnik,świdnicki,lubelskie,"20,35",39 885,1960
Świdwin,świdwiński,zachodniopomorskie,"22,38",15 521,694
gmina Świdwin,świdwiński,zachodniopomorskie,"247,25",5982,24
Świebodzice,świdnicki,dolnośląskie,"30,43",22 901,753
gmina Świebodzin,świebodziński,lubuskie,"226,41",30 256,134
gmina Świecie,świecki,kujawsko-pomorskie,"174,93",34 148,195
gmina Świecie nad Osą,grudziądzki,kujawsko-pomorskie,"94,75",4307,45
