"";"gmina";"powiat";"score";"gminaType"
"327";"Barczewo (3)";"olsztyñski";0;"urban_rural"
"328";"Wo³omin (3)";"wo³omiñski";0;"urban_rural"
"329";"Jelcz-Laskowice (3)";"o³awski";0;"urban_rural"
"330";"Mszczonów (3)";"¿yrardowski";0;"urban_rural"
"331";"Miêdzyzdroje (3)";"kamieñski";0;"urban_rural"
"332";"Rzgów (3)";"³ódzki wschodni";0;"urban_rural"
"333";"Brzeg Dolny (3)";"wo³owski";0;"urban_rural"
"334";"Góra Kalwaria (3)";"piaseczyñski";0;"urban_rural"
"335";"Ujazd (3)";"strzelecki";0;"urban_rural"
"336";"Gogolin (3)";"krapkowicki";0;"urban_rural"
"337";"Siechnice (3)";"wroc³awski";0;"urban_rural"
"338";"Halinów (3)";"miñski";0;"urban_rural"
"339";"Namys³ów (3)";"namys³owski";0;"urban_rural"
"340";"Œwi¹tniki Górne (3)";"krakowski";0;"urban_rural"
"341";"Kozieg³owy (3)";"myszkowski";0;"urban_rural"
"342";"Goleniów (3)";"goleniowski";0;"urban_rural"
"343";"Murowana Goœlina (3)";"poznañski";0;"urban_rural"
"344";"Grójec (3)";"grójecki";0;"urban_rural"
"345";"T³uszcz (3)";"wo³omiñski";0;"urban_rural"
"346";"£abiszyn (3)";"¿niñski";0;"urban_rural"
"347";"Tuszyn (3)";"³ódzki wschodni";0;"urban_rural"
"348";"Stêszew (3)";"poznañski";0;"urban_rural"
"349";"Pilawa (3)";"garwoliñski";0;"urban_rural"
"350";"Jarocin (3)";"jarociñski";0;"urban_rural"
"351";"Koluszki (3)";"³ódzki wschodni";0;"urban_rural"
"352";"Buk (3)";"poznañski";0;"urban_rural"
"353";"Myœlenice (3)";"myœlenicki";0;"urban_rural"
"354";"Choroszcz (3)";"bia³ostocki";0;"urban_rural"
"355";"Nowe Brzesko (3)";"proszowicki";0;"urban_rural"
"356";"Lipsko (3)";"lipski";0;"urban_rural"
"357";"Sieraków (3)";"miêdzychodzki";0;"urban_rural"
"358";"£omianki (3)";"warszawski zachodni";0;"urban_rural"
"359";"Ropczyce (3)";"ropczycko-sêdziszowski";0;"urban_rural"
"360";"S³omniki (3)";"krakowski";0;"urban_rural"
"361";"Pszczyna (3)";"pszczyñski";0;"urban_rural"
"362";"Warka (3)";"grójecki";0;"urban_rural"
"363";"Stryków (3)";"zgierski";0;"urban_rural"
"364";"Szubin (3)";"nakielski";0;"urban_rural"
"365";"Siewierz (3)";"bêdziñski";0;"urban_rural"
"366";"Polkowice (3)";"polkowicki";0;"urban_rural"
"367";"Zb¹szyñ (3)";"nowotomyski";0;"urban_rural"
"368";"Czerniejewo (3)";"gnieŸnieñski";0;"urban_rural"
"369";"Stawiszyn (3)";"kaliski";0;"urban_rural"
"370";"Wyszków (3)";"wyszkowski";0;"urban_rural"
"371";"Wolbórz (3)";"piotrkowski";0;"urban_rural"
"372";"Nowy Wiœnicz (3)";"bocheñski";0;"urban_rural"
"373";"Olkusz (3)";"olkuski";0;"urban_rural"
"374";"Czechowice-Dziedzice (3)";"bielski";0;"urban_rural"
"375";"Wronki (3)";"szamotulski";0;"urban_rural"
"376";"Nasielsk (3)";"nowodworski";0;"urban_rural"
"377";"KoŸmin Wielkopolski (3)";"krotoszyñski";0;"urban_rural"
"378";"Recz (3)";"choszczeñski";0;"urban_rural"
"379";"Wolsztyn (3)";"wolsztyñski";0;"urban_rural"
"380";"Nekla (3)";"wrzesiñski";0;"urban_rural"
"381";"Sulejów (3)";"piotrkowski";0;"urban_rural"
"382";"Konstancin-Jeziorna (3)";"piaseczyñski";0;"urban_rural"
"383";"£êczna (3)";"³êczyñski";0;"urban_rural"
"384";"Twardogóra (3)";"oleœnicki";0;"urban_rural"
"385";"Cedynia (3)";"gryfiñski";0;"urban_rural"
"386";"Wrzeœnia (3)";"wrzesiñski";0;"urban_rural"
"387";"Przec³aw (3)";"mielecki";0;"urban_rural"
"388";"Czerwieñsk (3)";"zielonogórski";0;"urban_rural"
"389";"Trzebinia (3)";"chrzanowski";0;"urban_rural"
"390";"Golina (3)";"koniñski";0;"urban_rural"
"391";"Chêciny (3)";"kielecki";0;"urban_rural"
"392";"Zb¹szynek (3)";"œwiebodziñski";0;"urban_rural"
"393";"Nysa (3)";"nyski";0;"urban_rural"
"394";"Be³¿yce (3)";"lubelski";0;"urban_rural"
"395";"Sianów (3)";"koszaliñski";0;"urban_rural"
"396";"Czersk (3)";"chojnicki";0;"urban_rural"
"397";"Odolanów (3)";"ostrowski";0;"urban_rural"
"398";"Osieczna (3)";"leszczyñski";0;"urban_rural"
"399";"Skarszewy (3)";"starogardzki";0;"urban_rural"
"400";"Olszyna (3)";"lubañski";0;"urban_rural"
"401";"Krzywiñ (3)";"koœciañski";0;"urban_rural"
"402";"Kamieñ Pomorski (3)";"kamieñski";0;"urban_rural"
"403";"Mikstat (3)";"ostrzeszowski";0;"urban_rural"
"404";"Kisielice (3)";"i³awski";0;"urban_rural"
"405";"Torzym (3)";"sulêciñski";0;"urban_rural"
"406";"Wielichowo (3)";"grodziski";0;"urban_rural"
"407";"Szczytna (3)";"k³odzki";0;"urban_rural"
"408";"Nowogrodziec (3)";"boles³awiecki";0;"urban_rural"
"409";"Ska³a (3)";"krakowski";0;"urban_rural"
"410";"Œroda Œl¹ska (3)";"œredzki";0;"urban_rural"
"411";"Sulechów (3)";"zielonogórski";0;"urban_rural"
"412";"Oœno Lubuskie (3)";"s³ubicki";0;"urban_rural"
"413";"Mieroszów (3)";"wa³brzyski";0;"urban_rural"
